CAT_MAT;DESCRICAO;DOSAGEM;DOSE_DE_USO;APRESENTACAO;QUANT_DOSE_USO;QUANT_FRAC_APRESENT;FORMA_FARMACEUTICA;FRACIONADO;SOLICITA_FAR;TIPO;STATUS
243397;AGENDA, TIPO TELEFONICA, REVESTIMENTO CAPA PAPEL PLASTIFICADO, QUANTIDADE FOLHAS 100, GRAMATURA 90, ;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
243397;AGENDA, TIPO TELEFONICA, REVESTIMENTO CAPA PAPEL PLASTIFICADO, QUANTIDADE FOLHAS 100, GRAMATURA 90, ;1 | UNIDADE;1;;;;;;;ALM;Inativo
234073;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1 | CAIXA;;;;;NAO;NAO;ALM;Inativo
230885;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1 | CAIXA;;;;;NAO;NAO;ALM;Inativo
230884;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1 | CAIXA;;;;;NAO;NAO;ALM;Inativo
282042;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1 | CAIXA;;;;;NAO;NAO;ALM;Inativo
203358;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1 | CAIXA;;;;;NAO;NAO;ALM;Inativo
234073;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1;;;;;;;ALM;Inativo
230885;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1;;;;;;;ALM;Inativo
230884;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1;;;;;;;ALM;Inativo
282042;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1;;;;;;;ALM;Inativo
203358;ALFINETE MAPA, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, MATERIAL CABECA PLASTICO, FORMATO C;1 | CAIXA               ;1;;;;;;;ALM;Inativo
233957;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
269477;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,;1 | UNIDADE;1;;;;;;;ALM;Inativo
308361;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,; | ;0;;;;;;;ALM;Inativo
203277;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
308361;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
233957;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,;1 | UNIDADE;1;;;;;;;ALM;Inativo
